,player,year,school,conference,team_year_url,class,pos,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,losses,rank,wins
3605,Melvin Ingram,2007,South Carolina,SEC,https://www.sports-reference.com/cfb/schools/south-carolina/2007.html,FR,LB,12,,,,,,,,,,,,,,,,,,0,0,,0,14,3,17,1.0,1.0,0,0,,0,,,,,,,,,,5,90,18.0,0,6.0,63.0,6.0
3606,Melvin Ingram,2009,South Carolina,SEC,https://www.sports-reference.com/cfb/schools/south-carolina/2009.html,SO,LB,11,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,10,8,18,3.5,1.5,0,0,,0,1,0,0,0,0,0,0,,0,0,0,,0,6.0,55.0,7.0
3607,Melvin Ingram,2010,South Carolina,SEC,https://www.sports-reference.com/cfb/schools/south-carolina/2010.html,JR,DL,14,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,17,11,28,11.0,9.0,0,0,,0,1,0,0,0,1,0,0,,0,0,0,,0,5.0,34.0,9.0
3608,Melvin Ingram,2011,South Carolina,SEC,https://www.sports-reference.com/cfb/schools/south-carolina/2011.html,SR,DL,13,,,,,,,,,,2,87,43.5,1,,,,,2,87,43.5,1,31,17,48,15.0,10.0,2,8,4.0,0,,,5,2,,,,,,,,,,2.0,8.0,11.0
3609,Shea McClellin,2008,Boise State,WAC,https://www.sports-reference.com/cfb/schools/boise-state/2008.html,FR,DL,10,,,,,,,,,,,,,,,,,,,,,,4,10,14,1.0,1.0,0,0,,0,0,0,0,0,3,,,,,,,,,1.0,3.0,12.0
3610,Shea McClellin,2009,Boise State,WAC,https://www.sports-reference.com/cfb/schools/boise-state/2009.html,SO,DL,13,,,,,,,,,,,,,,,,,,,,,,15,21,36,6.0,3.0,1,0,0.0,0,,,,,,,,,,,,,,0.0,1.0,14.0
3611,Shea McClellin,2010,Boise State,WAC,https://www.sports-reference.com/cfb/schools/boise-state/2010.html,JR,DL,13,,,,,,,,,,,,,,,,,,,,,,15,15,30,13.5,9.5,1,36,36.0,1,,,0,1,,,,,,,,,,1.0,4.0,12.0
3612,Shea McClellin,2011,Boise State,MWC,https://www.sports-reference.com/cfb/schools/boise-state/2011.html,SR,DL,13,,,,,,,,,,,,,,,,,,,,,,30,20,50,12.5,7.0,2,6,3.0,0,,,,,,,,,,,,,,1.0,3.0,12.0
3613,Kendall Wright,2008,Baylor,Big 12,https://www.sports-reference.com/cfb/schools/baylor/2008.html,FR,WR,12,0,3,0.0,0,0.0,0.0,0,0,0.0,29,168,5.8,1,50,649,13.0,5,79,817,10.3,6,,,,,,,,,,,,,,,,,,,,,,,8.0,89.0,4.0
3614,Kendall Wright,2009,Baylor,Big 12,https://www.sports-reference.com/cfb/schools/baylor/2009.html,SO,WR,12,0,4,0.0,0,0.0,-22.5,0,2,-100.0,28,132,4.7,1,66,740,11.2,4,94,872,9.3,5,,,,,,,,,,,,,,,,,,,1,8,8.0,0,8.0,91.0,4.0
